,Unnamed: 0,Unnamed: 0.1,L_box,minPts_box,c_id,source_id,l,b,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmdec,pmra_error,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Nclusters
71342,71342,71342,10,10,1356,253536871587064960,158.59400949202316,-1.5742183351543226,68.74543145725315,45.25839470308652,0.042561572,0.027020391,0.3861266525611953,0.05251021,0.8762058324872101,-2.053449399961276,0.06174083,0.04961058,,,16.287388,16.82416,15.573312,47
71343,71343,71343,10,10,1356,253536901646121600,158.59230945132686,-1.5513816449441926,68.767720622728,45.2750773821483,0.09545688,0.06304506,0.2544239335135782,0.11593281,0.9450658061148796,-1.9862268987631355,0.14339869,0.11272959,,,17.755245000000006,18.572563,16.864992,47
71344,71344,71344,10,10,1356,253536905946793344,158.58951652724716,-1.5450858759424528,68.77163720408107,45.28138896851716,0.05570697,0.037012536,0.3049366616082744,0.06816472,0.8455831791480688,-1.9845794941278003,0.08087637,0.065343365,,,16.871035,17.546823999999994,16.056465,47
71345,71345,71345,10,10,1356,253536905946794368,158.58706531835466,-1.5471713825084492,68.76709928817517,45.28178677745846,0.07359777,0.049460538,0.3186042005441312,0.09132609,1.0525910460021124,-2.0583036377037622,0.108588815,0.087203056,,,17.374619,18.139858,16.519724,47
71346,71346,71346,10,10,1356,253536905946795648,158.58493124400013,-1.5555674223248317,68.75625392805956,45.2776870504511,0.023771426,0.0150498785,0.2886579745822669,0.028710436,0.9388312076064904,-1.934552573578736,0.03328189,0.026556285,,,15.02321,15.53783,14.325827,47
71347,71347,71347,10,10,1356,253536905947013120,158.5921376277629,-1.5561036181805588,68.76260855943993,45.27201393597778,0.03139828,0.019845197,0.3945869141501117,0.036972087,0.8319981770201375,-1.982762058466012,0.046298478,0.03581796,,,15.578629500000002,16.113678,14.869001,47
71348,71348,71348,10,10,1356,253536936005823488,158.62550846371423,-1.5510550530521163,68.79990831897084,45.25082445928215,0.04959546,0.033188686,0.3708010615183615,0.058732744,0.8843300127136876,-1.970852769084824,0.071655,0.058282554,,,16.605242,17.310585,15.770994,47
71349,71349,71349,10,10,1356,253536940306534656,158.62941947792018,-1.5492158263200633,68.80558502883679,45.24918260527912,0.057297368,0.038776245,0.3431719096937655,0.0667462,0.885856516696983,-1.9215213068253552,0.08139929,0.06616342,,,16.906046,17.564722,16.098085,47
71350,71350,71350,10,10,1356,253536974666268672,158.6185863327861,-1.5325320044740411,68.81268181915004,45.2684353289057,0.08603044,0.060013328,0.2726863277209774,0.10188179,0.7341118903837851,-1.955903889061436,0.12187753,0.10181933,,,17.688637,18.44072,16.842419,47
71351,71351,71351,10,10,1356,253537210883770880,158.59650333209228,-1.54270436152372,68.78083757119897,45.27784759432328,0.09382443,0.06654372,0.4016938547065013,0.11336649,0.9807164106479695,-1.9965492160446685,0.12779845,0.110725515,,,17.679289999999995,18.598059,16.73934,47
71352,71352,71352,10,10,1356,253537215184436608,158.60446500658017,-1.53259797843404,68.79906845442903,45.27880339185444,0.02912452,0.02018396,0.3298178130223255,0.035297032,0.9818430986242116,-2.056723897021387,0.039791483,0.035432737,,,15.474688,15.98706,14.775693,47
71353,71353,71353,10,10,1356,253537249544173184,158.5960819353835,-1.5200984792253884,68.80412966639436,45.29342472840247,0.036193233,0.025910359,0.2520431087946487,0.044247646,0.8596740336911155,-2.0599471776411384,0.04956318,0.044991862,,,16.012895999999998,16.52733,15.319431,47
71354,71354,71354,10,10,1356,253537279603265536,158.5916352098523,-1.5293699172050323,68.79014244288788,45.290442356817614,0.044533495,0.02974617,0.3261909594763039,0.05469484,1.0868217079707971,-1.8828861852947885,0.06286673,0.051081944,,,16.51225,17.08779,15.767935,47
71355,71355,71355,10,10,1356,253537490062362496,158.5804255555114,-1.5953883074777635,68.71022967167029,45.2540925041677,0.02187537,0.013017013,0.308861873772097,0.027193535,0.9064358893339872,-2.0085209891608176,0.030149136,0.021637859,,,14.714323,15.199788,14.041735,47
71356,71356,71356,10,10,1356,253537490062363264,158.5835741473055,-1.5961830150163645,68.71242050133402,45.251236142746016,0.029477587,0.01759201,0.3262997619747845,0.03610199,0.9020966941654844,-1.961796660810868,0.042683978,0.030098258,,,15.399354999999998,15.865142,14.7483225,47
71357,71357,71357,10,10,1356,253537520121413760,158.57360268465732,-1.5745207045209204,68.72552614878094,45.27322515711944,0.029396042,0.018070621,0.3466726317823039,0.03656608,1.052032278018402,-1.9061231395276657,0.041560974,0.031563953,,,15.518468,16.043028,14.818186,47
71358,71358,71358,10,10,1356,253537524422094592,158.58259968623716,-1.5788966199197425,68.729581579772,45.26363937699777,0.046570484,0.029188398,0.3497926406696665,0.056897886,0.928145827483552,-2.049523664603222,0.06631652,0.050194867,,,16.40099,16.966934,15.663832,47
71359,71359,71359,10,10,1356,253537524422095104,158.57959803540217,-1.5821611586512734,68.72328192056622,45.26364398722362,0.02540281,0.015387356,0.3119117538631945,0.031563006,0.9233920188562296,-1.9787696659879448,0.034846436,0.02602796,,,15.108078,15.608906,14.424097,47
