# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Feb 23 17:37:02 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=2.14, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471 0.00000 8.47000 1.6257791519 2.5483314991    1.625  0.894  3.8979  4.298    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.46e-14      0.00 7.164e-01 2.691e-01 2.577e-03 7.040e-04 6.396e-03 -1.000 1.453e-02 2.534 4.346 4.858 3.661
0.01471 0.00000 8.47000 1.6500000954 2.5499615669    1.649  0.923  3.9036  4.299    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.15e-14      0.00 7.164e-01 2.690e-01 2.577e-03 7.039e-04 6.395e-03 -1.000 1.453e-02 2.462 4.286 4.788 3.611
0.01471 0.00000 8.47000 1.6527526379 2.5501434803    1.652  0.926  3.9043  4.299    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -4.9e-15      0.00 7.164e-01 2.690e-01 2.577e-03 7.038e-04 6.395e-03 -1.000 1.453e-02 2.454 4.280 4.780 3.605
0.01471 0.00000 8.47000 1.7000000477 2.5531582832    1.699  0.981  3.9146  4.298    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.165e-01 2.690e-01 2.576e-03 7.037e-04 6.393e-03 -1.000 1.454e-02 2.319 4.170 4.651 3.512
0.01471 0.00000 8.47000 1.7260541916 2.5547397137    1.725  1.009  3.9198  4.297    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.166e-01 2.689e-01 2.576e-03 7.036e-04 6.392e-03 -1.000 1.454e-02 2.247 4.111 4.583 3.462
0.01471 0.00000 8.47000 1.7500000000 2.5561456680    1.749  1.036  3.9245  4.295    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.166e-01 2.689e-01 2.575e-03 7.035e-04 6.391e-03 -1.000 1.454e-02 2.181 4.059 4.523 3.417
0.01471 0.00000 8.47000 1.7999998331 2.5589430332    1.799  1.088  3.9335  4.291    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.167e-01 2.688e-01 2.575e-03 7.033e-04 6.390e-03 -1.000 1.448e-02 2.049 3.954 4.404 3.326
0.01471 0.00000 8.47000 1.8198169470 2.5600030422    1.819  1.109  3.9370  4.289    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.167e-01 2.688e-01 2.574e-03 7.033e-04 6.390e-03 -1.000 1.449e-02 1.998 3.914 4.359 3.291
0.01471 0.00000 8.47000 1.8499999046 2.5615673065    1.849  1.140  3.9420  4.285    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.167e-01 2.687e-01 2.574e-03 7.032e-04 6.389e-03 -1.000 1.452e-02 1.920 3.855 4.292 3.238
0.01471 0.00000 8.47000 1.8999999762 2.5640332699    1.899  1.190  3.9499  4.278    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.168e-01 2.687e-01 2.574e-03 7.031e-04 6.388e-03 -1.000 1.447e-02 1.795 3.758 4.185 3.151
0.01471 0.00000 8.47000 1.9500000477 2.5663545132    1.950  1.239  3.9574  4.270    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.168e-01 2.686e-01 2.573e-03 7.030e-04 6.388e-03 -1.000 1.451e-02 1.673 3.666 4.084 3.067
0.01471 0.00000 8.47000 2.0000000000 2.5685424805    2.000  1.287  3.9643  4.262    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.168e-01 2.686e-01 2.573e-03 7.030e-04 6.387e-03 -1.000 1.454e-02 1.553 3.576 3.986 2.984
0.01471 0.00000 8.47000 2.0499999523 2.5706083775    2.050  1.334  3.9712  4.252    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.169e-01 2.686e-01 2.573e-03 7.029e-04 6.386e-03 -1.000 1.452e-02 1.435 3.487 3.891 2.902
0.01471 0.00000 8.47000 2.0999999046 2.5725615025    2.099  1.381  3.9776  4.242    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.169e-01 2.686e-01 2.573e-03 7.029e-04 6.386e-03 -1.000 1.453e-02 1.319 3.401 3.799 2.822
0.01471 0.00000 8.47000 2.1104781628 2.5729575157    2.109  1.390  3.9789  4.240    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.169e-01 2.686e-01 2.573e-03 7.029e-04 6.386e-03 -1.000 1.453e-02 1.295 3.383 3.780 2.805
0.01471 0.00000 8.47000 2.1500000954 2.5744106770    2.149  1.426  3.9837  4.231    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.169e-01 2.685e-01 2.573e-03 7.029e-04 6.386e-03 -1.000 1.454e-02 1.205 3.316 3.709 2.742
0.01471 0.00000 8.47000 2.2000000477 2.5761635303    2.199  1.471  3.9895  4.219    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.169e-01 2.686e-01 2.573e-03 7.029e-04 6.386e-03 -1.000 1.449e-02 1.092 3.232 3.620 2.662
0.01471 0.00000 8.47000 2.2239665985 2.5769715309    2.223  1.492  3.9922  4.213    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.170e-01 2.686e-01 2.573e-03 7.029e-04 6.386e-03 -1.000 1.448e-02 1.039 3.192 3.578 2.624
0.01471 0.00000 8.47000 2.2500000000 2.5778269768    2.249  1.515  3.9951  4.207    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.170e-01 2.686e-01 2.573e-03 7.028e-04 6.386e-03 -1.000 1.448e-02 0.981 3.149 3.532 2.583
0.01471 0.00000 8.47000 2.2953591347 2.5792641640    2.294  1.555  3.9999  4.195    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.170e-01 2.686e-01 2.573e-03 7.029e-04 6.386e-03 -1.000 1.446e-02 0.882 3.074 3.454 2.511
